country,year,indicator,sales_value,gdp_per_capita,unit,sector_type,gdp_lag1,gdp_log,sales_log,sales_zscore,gdp_zscore,sales_growth,gdp_growth
AL,2016,G47,65.85000000000001,10420.1,CLV10_MEUR,Total retail,,4.017871886836807,1.8185557792978027,-0.5462045957147,-1.2681589084015306,,
AL,2017,G47,66.28333333333333,10762.2,CLV10_MEUR,Total retail,10420.1,4.031901058523456,1.8214043406023368,-0.529014772963974,-0.9487225526945573,0.006580612503163552,0.032830778975249775
AL,2018,G47,69.15,11157.3,CLV10_MEUR,Total retail,10762.2,4.047559110643657,1.8397921844453293,-0.41529748399763006,-0.5797973725138365,0.04324867990947956,0.03671182471985257
AL,2019,G47,71.7,11387.4,CLV10_MEUR,Total retail,11157.3,4.056424576181811,1.8555191556678001,-0.31414198857989417,-0.36494117418535177,0.03687635574837311,0.02062326907047418
AL,2020,G47,103.875,11010.1,CLV10_MEUR,Total retail,11387.4,4.041791263499541,2.0165110367921675,0.9622023506615393,-0.7172455793541349,0.44874476987447687,-0.033133112036110024
AL,2021,G47,76.38333333333334,11997.6,CLV10_MEUR,Total retail,11010.1,4.079094378464196,1.882998606861143,-0.12835967346627433,0.2048339332463793,-0.26466105094263936,0.08969037520095191
AL,2022,G47,86.11666666666667,12576.7,CLV10_MEUR,Total retail,11997.6,4.099566701538599,1.935087211162018,0.2577501913961951,0.7455693719774761,0.1274274492690377,0.04826798693071943
AL,2023,G47,60.825,13081.7,CLV10_MEUR,Total retail,12576.7,4.116664185321975,1.784082117602856,-0.7455404249202388,1.2171138315858403,-0.2936907296303465,0.04015361740361145
AL,2024,G47,65.425,13611.0,CLV10_MEUR,Total retail,13081.7,4.133890033985679,1.8157437313119185,-0.5630638449509898,1.7113484503397152,0.07562679819153306,0.04046110215033205
AL,2016,G476,67.43333333333334,10420.1,CLV10_MEUR,Discretionary,13611.0,4.017871886836807,1.8288746280511423,-0.43660202480344207,-1.2681589084015306,,-0.2344353831459849
AL,2017,G476,87.4,10762.2,CLV10_MEUR,Discretionary,10420.1,4.031901058523456,1.941511432634403,0.27187706202019557,-0.9487225526945573,0.296094908551656,0.032830778975249775
AL,2018,G476,66.21666666666667,11157.3,CLV10_MEUR,Discretionary,10762.2,4.047559110643657,1.8209673146717191,-0.47977312107900605,-0.5797973725138365,-0.24237223493516402,0.03671182471985257
AL,2019,G476,80.55,11387.4,CLV10_MEUR,Discretionary,11157.3,4.056424576181811,1.9060655447552368,0.028817876139965688,-0.36494117418535177,0.21646111250943867,0.02062326907047418
AL,2020,G476,107.125,11010.1,CLV10_MEUR,Discretionary,11387.4,4.041791263499541,2.0298908349312548,0.9717810680767689,-0.7172455793541349,0.32991930477964004,-0.033133112036110024
AL,2021,G476,75.33333333333333,11997.6,CLV10_MEUR,Discretionary,11010.1,4.079094378464196,1.8769871844277384,-0.15628559145252066,0.2048339332463793,-0.2967716841695839,0.08969037520095191
AL,2022,G476,83.31666666666666,12576.7,CLV10_MEUR,Discretionary,11997.6,4.099566701538599,1.9207318863689467,0.12698776630083697,0.7455693719774761,0.10597345132743374,0.04826798693071943
AL,2023,G476,71.13333333333334,13081.7,CLV10_MEUR,Discretionary,12576.7,4.116664185321975,1.8520731603687888,-0.30531458133528877,1.2171138315858403,-0.14622924584916974,0.04015361740361145
AL,2024,G476,71.2,13611.0,CLV10_MEUR,Discretionary,13081.7,4.133890033985679,1.8524799936368563,-0.3029490418133402,1.7113484503397152,0.0009372071227740086,0.04046110215033205
AT,2016,G47,74.7125,316647.9,CLV10_MEUR,Total retail,,5.500576612144054,1.873393268841738,-0.19463966311090203,-1.5808783707247247,,
AT,2017,G47,76.775,323842.9,CLV10_MEUR,Total retail,316647.9,5.510334379930524,1.8852198251151064,-0.11282271828773321,-0.9838655901101143,0.027605822318889084,0.022722399232712354
